ANZSCO,Occupation,manual_telework
1412,Caravan Park and Camping Ground Managers,
1413,Hotel and Motel Managers,
1414,Licensed Club Managers,
1493,Conference and Event Organisers,
2113,Photographers,
2232,ICT Trainers,
2233,Training and Development Professionals,
2243,Economists,
2246,Librarians,
2253,Public Relations Professionals,
2325,Interior Designers,
2326,Urban and Regional Planners,
2333,Electrical Engineers,
2334,Electronics Engineers,
2346,Medical Laboratory Scientists,
2347,Veterinarians,
2411,Early Childhood (Pre-primary School) Teachers,
2412,Primary School Teachers,
2413,Middle School Teachers (Aus) \ Intermediate School Teachers (NZ),
2414,Secondary School Teachers,
2422,Vocational Education Teachers (Aus) \ Polytechnic Teachers (NZ),
2493,Teachers of English to Speakers of Other Languages,
2524,Occupational Therapists,
2525,Physiotherapists,
2526,Podiatrists,
2532,Anaesthetists,
2534,Psychiatrists,
2541,Midwives,
2543,Nurse Managers,
2711,Barristers,
2713,Solicitors,
2722,Ministers of Religion,
2725,Social Workers,
3111,Agricultural Technicians,
3126,Safety Inspectors,
3211,Automotive Electricians,
3222,Sheetmetal Trades Workers,
3241,Panelbeaters,
3243,Vehicle Painters,
3321,Floor Finishers,
3322,Painting Trades Workers,
3331,Glaziers,
3333,Roof Tilers,
3334,Wall and Floor Tilers,
3421,Airconditioning and Refrigeration Mechanics,
3512,Butchers and Smallgoods Makers,
3513,Chefs,
3514,Cooks,
3612,Shearers,
3613,Veterinary Nurses,
3621,Florists,
3623,Greenkeepers,
3624,Nurserypersons,
3911,Hairdressers,
3922,Graphic Pre-press Trades Workers,
3933,Upholsterers,
3941,Cabinetmakers,
3994,Jewellers,
3996,Signwriters,
4113,Diversional Therapists,
4115,Indigenous Health Workers,
4116,Massage Therapists,
4231,Aged and Disabled Carers,
4232,Dental Assistants,
4312,Cafe Workers,
4313,Gaming Workers,
4314,Hotel Service Managers,
4315,Waiters,
4411,Defence Force Members - Other Ranks,
4421,Prison Officers,
4511,Beauty Therapists,
4512,Driving Instructors,
4521,Fitness Instructors,
5121,Office Managers,
5211,Personal Assistants,
5311,General Clerks,
5412,Information Officers,
5512,Bookkeepers,
5513,Payroll Clerks,
5521,Bank Workers,
5522,Credit and Loans Officers (Aus) \ Finance Clerks (NZ),
5613,Filing and Registry Clerks,
5615,Survey Interviewers,
5616,Switchboard Operators,
5993,Debt Collectors,
5994,Human Resource Clerks,
5997,Library Assistants,
6112,Insurance Agents,
6211,Sales Assistants (General),
6212,ICT Sales Assistants,
6214,Pharmacy Sales Assistants,
6215,Retail Supervisors,
6216,Service Station Attendants,
6393,Telemarketers,
6395,Visual Merchandisers,
6399,Other Sales Support Workers,
7112,Industrial Spraypainters,
7114,Photographic Developers and Printers,
7116,Sewing Machinists,
7121,"Crane, Hoist and Lift Operators",
7123,Engineering Production Workers,
7213,Forklift Drivers,
7321,Delivery Drivers,
7411,Storepersons,
8111,Car Detailers,
8112,Commercial Cleaners,
8113,Domestic Cleaners,
8212,Concreters,
8213,Fencers,
8215,Paving and Surfacing Labourers,
8216,Railway Track Workers,
8322,Product Assemblers,
8391,Metal Engineering Process Workers,
8411,Aquaculture Workers,
8416,Mixed Crop and Livestock Farm Workers,
8511,Fast Food Cooks,
8513,Kitchenhands,
8912,Shelf Fillers,
8991,Caretakers,
8993,Handypersons,
8996,Recycling and Rubbish Collectors,
8997,Vending Machine Attendants,
